,userName,score,at,content,casefolding,cleaning,Tokenize,normalisasi,stopwords removal,stemming,data_clean
0,Helloput Official,1,2024-01-08 5:53:54,"Ada apa dengan Maxim. Padahal saya pesan Maxim dan sudah dapat driver, tetapi dijalan saya kehilangan sinyal data posisi hp didalam tas kok tiba-tiba bisa order dengan sendirinya dengan penjemputan dan tujuan sama. Tolong diperbaiki agar tidak saling merugikan dan menjadi konflik dengan driver","ada apa dengan maxim. padahal saya pesan maxim dan sudah dapat driver, tetapi dijalan saya kehilangan sinyal data posisi hp didalam tas kok tiba-tiba bisa order dengan sendirinya dengan penjemputan dan tujuan sama. tolong diperbaiki agar tidak saling merugikan dan menjadi konflik dengan driver",ada apa dengan maxim padahal saya pesan maxim dan sudah dapat driver tetapi dijalan saya kehilangan sinyal data posisi hp didalam tas kok tiba tiba bisa order dengan sendirinya dengan penjemputan dan tujuan sama tolong diperbaiki agar tidak saling merugikan dan menjadi konflik dengan driver,"['ada', 'apa', 'dengan', 'maxim', 'padahal', 'saya', 'pesan', 'maxim', 'dan', 'sudah', 'dapat', 'driver', 'tetapi', 'dijalan', 'saya', 'kehilangan', 'sinyal', 'data', 'posisi', 'hp', 'didalam', 'tas', 'kok', 'tiba', 'tiba', 'bisa', 'order', 'dengan', 'sendirinya', 'dengan', 'penjemputan', 'dan', 'tujuan', 'sama', 'tolong', 'diperbaiki', 'agar', 'tidak', 'saling', 'merugikan', 'dan', 'menjadi', 'konflik', 'dengan', 'driver']","['ada', 'apa', 'dengan', 'maxim', 'padahal', 'saya', 'pesan', 'maxim', 'dan', 'sudah', 'dapat', 'driver', 'tetapi', 'dijalan', 'saya', 'kehilangan', 'sinyal', 'data', 'posisi', 'hp', 'didalam', 'tas', 'kok', 'tiba', 'tiba', 'bisa', 'order', 'dengan', 'sendirinya', 'dengan', 'penjemputan', 'dan', 'tujuan', 'sama', 'tolong', 'diperbaiki', 'agar', 'tidak', 'saling', 'merugikan', 'dan', 'menjadi', 'konflik', 'dengan', 'driver']","['maxim', 'pesan', 'maxim', 'driver', 'dijalan', 'kehilangan', 'sinyal', 'data', 'posisi', 'hp', 'didalam', 'tas', 'order', 'penjemputan', 'tujuan', 'tolong', 'diperbaiki', 'merugikan', 'konflik', 'driver']","['maxim', 'pesan', 'maxim', 'driver', 'jalan', 'hilang', 'sinyal', 'data', 'posisi', 'hp', 'dalam', 'tas', 'order', 'jemput', 'tuju', 'tolong', 'baik', 'rugi', 'konflik', 'driver']",maxim pesan maxim driver jalan hilang sinyal data posisi hp dalam tas order jemput tuju tolong baik rugi konflik driver
1,Felin Taribaba,3,2024-01-07 22:31:34,"Awal awal itu baik maka saya suka beri bintang 5 tapi mulai kesini driver Maxim terlalu lambat dan kebiasaan TDK mau terima order, sampai sudah dinaikan tarif juga begitu. Kenapa selalu begitu yah bukan hanya dari motor malahan mobil juga. Sangat mengecewakan.","awal awal itu baik maka saya suka beri bintang 5 tapi mulai kesini driver maxim terlalu lambat dan kebiasaan tdk mau terima order, sampai sudah dinaikan tarif juga begitu. kenapa selalu begitu yah bukan hanya dari motor malahan mobil juga. sangat mengecewakan.",awal awal itu baik maka saya suka beri bintang tapi mulai kesini driver maxim terlalu lambat dan kebiasan tdk mau terima order sampai sudah dinaikan tarif juga begitu kenapa selalu begitu yah bukan hanya dari motor malahan mobil juga sangat mengecewakan,"['awal', 'awal', 'itu', 'baik', 'maka', 'saya', 'suka', 'beri', 'bintang', 'tapi', 'mulai', 'kesini', 'driver', 'maxim', 'terlalu', 'lambat', 'dan', 'kebiasan', 'tdk', 'mau', 'terima', 'order', 'sampai', 'sudah', 'dinaikan', 'tarif', 'juga', 'begitu', 'kenapa', 'selalu', 'begitu', 'yah', 'bukan', 'hanya', 'dari', 'motor', 'malahan', 'mobil', 'juga', 'sangat', 'mengecewakan']","['awal', 'awal', 'itu', 'baik', 'maka', 'saya', 'suka', 'beri', 'bintang', 'tapi', 'mulai', 'kesini', 'driver', 'maxim', 'terlalu', 'lambat', 'dan', 'kebiasan', 'tdk', 'mau', 'terima', 'order', 'sampai', 'sudah', 'dinaikan', 'tarif', 'juga', 'begitu', 'kenapa', 'selalu', 'begitu', 'yah', 'bukan', 'hanya', 'dari', 'motor', 'malahan', 'mobil', 'juga', 'sangat', 'mengecewakan']","['suka', 'bintang', 'kesini', 'driver', 'maxim', 'lambat', 'kebiasan', 'tdk', 'terima', 'order', 'dinaikan', 'tarif', 'yah', 'motor', 'mobil', 'mengecewakan']","['suka', 'bintang', 'kesini', 'driver', 'maxim', 'lambat', 'bias', 'tdk', 'terima', 'order', 'naik', 'tarif', 'yah', 'motor', 'mobil', 'kecewa']",suka bintang kesini driver maxim lambat bias tdk terima order naik tarif yah motor mobil kecewa
2,Pahlawan Kasbulatov,3,2023-12-16 9:49:43,titik lokasi masih banyak yg tidak sesuai dengan lokasi sebenarnya dibandingkan dg app ojol sebelah. selain itu gaada fitur tambahan kirim foto untuk mempermudah driver ke lokasi titik penjemputan yg memang byk yg tidak sesuai.,titik lokasi masih banyak yg tidak sesuai dengan lokasi sebenarnya dibandingkan dg app ojol sebelah. selain itu gaada fitur tambahan kirim foto untuk mempermudah driver ke lokasi titik penjemputan yg memang byk yg tidak sesuai.,titik lokasi masih banyak yg tidak sesuai dengan lokasi sebenarnya dibandingkan dg ap ojol sebelah selain itu gada fitur tambahan kirim foto untuk mempermudah driver ke lokasi titik penjemputan yg memang byk yg tidak sesuai,"['titik', 'lokasi', 'masih', 'banyak', 'yg', 'tidak', 'sesuai', 'dengan', 'lokasi', 'sebenarnya', 'dibandingkan', 'dg', 'ap', 'ojol', 'sebelah', 'selain', 'itu', 'gada', 'fitur', 'tambahan', 'kirim', 'foto', 'untuk', 'mempermudah', 'driver', 'ke', 'lokasi', 'titik', 'penjemputan', 'yg', 'memang', 'byk', 'yg', 'tidak', 'sesuai']","['titik', 'lokasi', 'masih', 'banyak', 'yg', 'tidak', 'sesuai', 'dengan', 'lokasi', 'sebenarnya', 'dibandingkan', 'dg', 'ap', 'ojol', 'sebelah', 'selain', 'itu', 'gada', 'fitur', 'tambahan', 'kirim', 'foto', 'untuk', 'mempermudah', 'driver', 'ke', 'lokasi', 'titik', 'penjemputan', 'yg', 'memang', 'byk', 'yg', 'tidak', 'sesuai']","['titik', 'lokasi', 'sesuai', 'lokasi', 'dibandingkan', 'ap', 'ojol', 'sebelah', 'gada', 'fitur', 'tambahan', 'kirim', 'foto', 'mempermudah', 'driver', 'lokasi', 'titik', 'penjemputan', 'byk', 'sesuai']","['titik', 'lokasi', 'sesuai', 'lokasi', 'banding', 'ap', 'ojol', 'belah', 'gada', 'fitur', 'tambah', 'kirim', 'foto', 'mudah', 'driver', 'lokasi', 'titik', 'jemput', 'byk', 'sesuai']",titik lokasi sesuai lokasi banding ap ojol belah gada fitur tambah kirim foto mudah driver lokasi titik jemput byk sesuai
3,babang okta fighter,2,2023-12-08 11:59:54,"Pencarian alamat masih kurang efektif,banyak alamat yang sudah ada di google map tapi tidak ada di maxim,sudah sering pembaharuan tapi masih terkendala pencarian alamat sedangkan ini hal yang penting untuk customer menentukan posisi letak jemput nya","pencarian alamat masih kurang efektif,banyak alamat yang sudah ada di google map tapi tidak ada di maxim,sudah sering pembaharuan tapi masih terkendala pencarian alamat sedangkan ini hal yang penting untuk customer menentukan posisi letak jemput nya",pencarian alamat masih kurang efektif banyak alamat yang sudah ada di gogle map tapi tidak ada di maxim sudah sering pembaharuan tapi masih terkendala pencarian alamat sedangkan ini hal yang penting untuk customer menentukan posisi letak jemput nya,"['pencarian', 'alamat', 'masih', 'kurang', 'efektif', 'banyak', 'alamat', 'yang', 'sudah', 'ada', 'di', 'gogle', 'map', 'tapi', 'tidak', 'ada', 'di', 'maxim', 'sudah', 'sering', 'pembaharuan', 'tapi', 'masih', 'terkendala', 'pencarian', 'alamat', 'sedangkan', 'ini', 'hal', 'yang', 'penting', 'untuk', 'customer', 'menentukan', 'posisi', 'letak', 'jemput', 'nya']","['pencarian', 'alamat', 'masih', 'kurang', 'efektif', 'banyak', 'alamat', 'yang', 'sudah', 'ada', 'di', 'gogle', 'map', 'tapi', 'tidak', 'ada', 'di', 'maxim', 'sudah', 'sering', 'pembaharuan', 'tapi', 'masih', 'terkendala', 'pencarian', 'alamat', 'sedangkan', 'ini', 'hal', 'yang', 'penting', 'untuk', 'customer', 'menentukan', 'posisi', 'letak', 'jemput', 'nya']","['pencarian', 'alamat', 'efektif', 'alamat', 'gogle', 'map', 'maxim', 'pembaharuan', 'terkendala', 'pencarian', 'alamat', 'customer', 'menentukan', 'posisi', 'letak', 'jemput']","['cari', 'alamat', 'efektif', 'alamat', 'gogle', 'map', 'maxim', 'baharu', 'kendala', 'cari', 'alamat', 'customer', 'tentu', 'posisi', 'letak', 'jemput']",cari alamat efektif alamat gogle map maxim baharu kendala cari alamat customer tentu posisi letak jemput
4,SapaAja,3,2023-12-17 10:23:22,"Tolong diperbaiki sistem map nya, masa kalah sama indrive, indrive aja map-nya akurat, kalo Maxim Ketika alamat tujuan di ketik sekelas mall besar aja gak bisa ditemukan, harus secara manual. Makanya Customer enggan pake Maxim itu karena repot harus nyari nyari alamat tujuan. Percaya dah kalo map-nya diperbaiki bnyak customer yg pake Maxim. Kalo enggan juga map diperbaiki berarti Maxim enggan juga untuk berkembang.","tolong diperbaiki sistem map nya, masa kalah sama indrive, indrive aja map-nya akurat, kalo maxim ketika alamat tujuan di ketik sekelas mall besar aja gak bisa ditemukan, harus secara manual. makanya customer enggan pake maxim itu karena repot harus nyari nyari alamat tujuan. percaya dah kalo map-nya diperbaiki bnyak customer yg pake maxim. kalo enggan juga map diperbaiki berarti maxim enggan juga untuk berkembang.",tolong diperbaiki sistem map nya masa kalah sama indrive indrive aja map nya akurat kalo maxim ketika alamat tujuan di ketik sekelas mal besar aja gak bisa ditemukan harus secara manual makanya customer engan pake maxim itu karena repot harus nyari nyari alamat tujuan percaya dah kalo map nya diperbaiki bnyak customer yg pake maxim kalo engan juga map diperbaiki berarti maxim engan juga untuk berkembang,"['tolong', 'diperbaiki', 'sistem', 'map', 'nya', 'masa', 'kalah', 'sama', 'indrive', 'indrive', 'aja', 'map', 'nya', 'akurat', 'kalo', 'maxim', 'ketika', 'alamat', 'tujuan', 'di', 'ketik', 'sekelas', 'mal', 'besar', 'aja', 'gak', 'bisa', 'ditemukan', 'harus', 'secara', 'manual', 'makanya', 'customer', 'engan', 'pake', 'maxim', 'itu', 'karena', 'repot', 'harus', 'nyari', 'nyari', 'alamat', 'tujuan', 'percaya', 'dah', 'kalo', 'map', 'nya', 'diperbaiki', 'bnyak', 'customer', 'yg', 'pake', 'maxim', 'kalo', 'engan', 'juga', 'map', 'diperbaiki', 'berarti', 'maxim', 'engan', 'juga', 'untuk', 'berkembang']","['tolong', 'diperbaiki', 'sistem', 'map', 'nya', 'masa', 'kalah', 'sama', 'indrive', 'indrive', 'aja', 'map', 'nya', 'akurat', 'kalo', 'maxim', 'ketika', 'alamat', 'tujuan', 'di', 'ketik', 'sekelas', 'mal', 'besar', 'aja', 'gak', 'bisa', 'ditemukan', 'harus', 'secara', 'manual', 'makanya', 'customer', 'engan', 'pake', 'maxim', 'itu', 'karena', 'repot', 'harus', 'nyari', 'nyari', 'alamat', 'tujuan', 'percaya', 'dah', 'kalo', 'map', 'nya', 'diperbaiki', 'bnyak', 'customer', 'yg', 'pake', 'maxim', 'kalo', 'engan', 'juga', 'map', 'diperbaiki', 'berarti', 'maxim', 'engan', 'juga', 'untuk', 'berkembang']","['tolong', 'diperbaiki', 'sistem', 'map', 'kalah', 'indrive', 'indrive', 'aja', 'map', 'akurat', 'maxim', 'alamat', 'tujuan', 'ketik', 'sekelas', 'mal', 'aja', 'gak', 'ditemukan', 'manual', 'customer', 'engan', 'pake', 'maxim', 'repot', 'nyari', 'nyari', 'alamat', 'tujuan', 'percaya', 'dah', 'map', 'diperbaiki', 'bnyak', 'customer', 'pake', 'maxim', 'engan', 'map', 'diperbaiki', 'maxim', 'engan', 'berkembang']","['tolong', 'baik', 'sistem', 'map', 'kalah', 'indrive', 'indrive', 'aja', 'map', 'akurat', 'maxim', 'alamat', 'tuju', 'ketik', 'kelas', 'mal', 'aja', 'gak', 'temu', 'manual', 'customer', 'engan', 'pake', 'maxim', 'repot', 'nyari', 'nyari', 'alamat', 'tuju', 'percaya', 'dah', 'map', 'baik', 'bnyak', 'customer', 'pake', 'maxim', 'engan', 'map', 'baik', 'maxim', 'engan', 'kembang']",tolong baik sistem map kalah indrive indrive aja map akurat maxim alamat tuju ketik kelas mal aja gak temu manual customer engan pake maxim repot nyari nyari alamat tuju percaya dah map baik bnyak customer pake maxim engan map baik maxim engan kembang
5,Pauline Marantha,4,2024-01-01 3:02:16,"Untuk yang lainnya tidak masalah ( saya pengguna lama ), tapi untuk masalah Titik nya suka tidak pas, kadang ada driver yang tidak paham jalan ( bukan orang lokal ) dan pasti lihat map. saya sudah menulis alamat yg benar. Driver pun sudah benar mengikuti map. Kecuali driver yang paham jalan ( orang lokal ) tidak masalah. Kasihan drivernya. Tolong Google Map nya di perhatikan.","untuk yang lainnya tidak masalah ( saya pengguna lama ), tapi untuk masalah titik nya suka tidak pas, kadang ada driver yang tidak paham jalan ( bukan orang lokal ) dan pasti lihat map. saya sudah menulis alamat yg benar. driver pun sudah benar mengikuti map. kecuali driver yang paham jalan ( orang lokal ) tidak masalah. kasihan drivernya. tolong google map nya di perhatikan.",untuk yang lainya tidak masalah saya penguna lama tapi untuk masalah titik nya suka tidak pas kadang ada driver yang tidak paham jalan bukan orang lokal dan pasti lihat map saya sudah menulis alamat yg benar driver pun sudah benar mengikuti map kecuali driver yang paham jalan orang lokal tidak masalah kasihan drivernya tolong gogle map nya di perhatikan,"['untuk', 'yang', 'lainya', 'tidak', 'masalah', 'saya', 'penguna', 'lama', 'tapi', 'untuk', 'masalah', 'titik', 'nya', 'suka', 'tidak', 'pas', 'kadang', 'ada', 'driver', 'yang', 'tidak', 'paham', 'jalan', 'bukan', 'orang', 'lokal', 'dan', 'pasti', 'lihat', 'map', 'saya', 'sudah', 'menulis', 'alamat', 'yg', 'benar', 'driver', 'pun', 'sudah', 'benar', 'mengikuti', 'map', 'kecuali', 'driver', 'yang', 'paham', 'jalan', 'orang', 'lokal', 'tidak', 'masalah', 'kasihan', 'drivernya', 'tolong', 'gogle', 'map', 'nya', 'di', 'perhatikan']","['untuk', 'yang', 'lainya', 'tidak', 'masalah', 'saya', 'penguna', 'lama', 'tapi', 'untuk', 'masalah', 'titik', 'nya', 'suka', 'tidak', 'pas', 'kadang', 'ada', 'driver', 'yang', 'tidak', 'paham', 'jalan', 'bukan', 'orang', 'lokal', 'dan', 'pasti', 'lihat', 'map', 'saya', 'sudah', 'menulis', 'alamat', 'yg', 'benar', 'driver', 'pun', 'sudah', 'benar', 'mengikuti', 'map', 'kecuali', 'driver', 'yang', 'paham', 'jalan', 'orang', 'lokal', 'tidak', 'masalah', 'kasihan', 'drivernya', 'tolong', 'gogle', 'map', 'nya', 'di', 'perhatikan']","['lainya', 'penguna', 'titik', 'suka', 'pas', 'kadang', 'driver', 'paham', 'jalan', 'orang', 'lokal', 'lihat', 'map', 'menulis', 'alamat', 'driver', 'mengikuti', 'map', 'kecuali', 'driver', 'paham', 'jalan', 'orang', 'lokal', 'kasihan', 'drivernya', 'tolong', 'gogle', 'map', 'perhatikan']","['lai', 'penguna', 'titik', 'suka', 'pas', 'kadang', 'driver', 'paham', 'jalan', 'orang', 'lokal', 'lihat', 'map', 'tulis', 'alamat', 'driver', 'ikut', 'map', 'kecuali', 'driver', 'paham', 'jalan', 'orang', 'lokal', 'kasihan', 'drivernya', 'tolong', 'gogle', 'map', 'perhati']",lai penguna titik suka pas kadang driver paham jalan orang lokal lihat map tulis alamat driver ikut map kecuali driver paham jalan orang lokal kasihan drivernya tolong gogle map perhati
6,sun ozzai,2,2023-12-18 9:42:03,"susah, ribet, alamat tidak jelas, mau ketik.alamat yg sudah sesuai saja gak kebaca sama mapnya, ampun dah aplikasi ini, uda itu gak otomatis map, mau.ke tujuan aja musti mengitari cari di peta alamat yg di tuju. asu","susah, ribet, alamat tidak jelas, mau ketik.alamat yg sudah sesuai saja gak kebaca sama mapnya, ampun dah aplikasi ini, uda itu gak otomatis map, mau.ke tujuan aja musti mengitari cari di peta alamat yg di tuju. asu",susah ribet alamat tidak jelas mau ketik alamat yg sudah sesuai saja gak kebaca sama mapnya ampun dah aplikasi ini uda itu gak otomatis map mau ke tujuan aja musti mengitari cari di peta alamat yg di tuju asu,"['susah', 'ribet', 'alamat', 'tidak', 'jelas', 'mau', 'ketik', 'alamat', 'yg', 'sudah', 'sesuai', 'saja', 'gak', 'kebaca', 'sama', 'mapnya', 'ampun', 'dah', 'aplikasi', 'ini', 'uda', 'itu', 'gak', 'otomatis', 'map', 'mau', 'ke', 'tujuan', 'aja', 'musti', 'mengitari', 'cari', 'di', 'peta', 'alamat', 'yg', 'di', 'tuju', 'asu']","['susah', 'ribet', 'alamat', 'tidak', 'jelas', 'mau', 'ketik', 'alamat', 'yg', 'sudah', 'sesuai', 'saja', 'gak', 'kebaca', 'sama', 'mapnya', 'ampun', 'dah', 'aplikasi', 'ini', 'uda', 'itu', 'gak', 'otomatis', 'map', 'mau', 'ke', 'tujuan', 'aja', 'musti', 'mengitari', 'cari', 'di', 'peta', 'alamat', 'yg', 'di', 'tuju', 'asu']","['susah', 'ribet', 'alamat', 'ketik', 'alamat', 'sesuai', 'gak', 'kebaca', 'mapnya', 'ampun', 'dah', 'aplikasi', 'uda', 'gak', 'otomatis', 'map', 'tujuan', 'aja', 'musti', 'mengitari', 'cari', 'peta', 'alamat', 'tuju', 'asu']","['susah', 'ribet', 'alamat', 'ketik', 'alamat', 'sesuai', 'gak', 'baca', 'map', 'ampun', 'dah', 'aplikasi', 'uda', 'gak', 'otomatis', 'map', 'tuju', 'aja', 'musti', 'kitar', 'cari', 'peta', 'alamat', 'tuju', 'asu']",susah ribet alamat ketik alamat sesuai gak baca map ampun dah aplikasi uda gak otomatis map tuju aja musti kitar cari peta alamat tuju asu
7,Zefanya Eka Rasmawati,1,2024-01-06 1:11:00,"Sekarang pelayanan tidak pernah ontime , driver datangnya lama, kebanyakan dapat orderan tidak pernah langsung pada jalan. Dan ada beberapa Driver yg masih kurang paham dalam membaca maps. Mohon diperbaiki","sekarang pelayanan tidak pernah ontime , driver datangnya lama, kebanyakan dapat orderan tidak pernah langsung pada jalan. dan ada beberapa driver yg masih kurang paham dalam membaca maps. mohon diperbaiki",sekarang pelayanan tidak pernah ontime driver datangnya lama kebanyakan dapat orderan tidak pernah langsung pada jalan dan ada beberapa driver yg masih kurang paham dalam membaca maps mohon diperbaiki,"['sekarang', 'pelayanan', 'tidak', 'pernah', 'ontime', 'driver', 'datangnya', 'lama', 'kebanyakan', 'dapat', 'orderan', 'tidak', 'pernah', 'langsung', 'pada', 'jalan', 'dan', 'ada', 'beberapa', 'driver', 'yg', 'masih', 'kurang', 'paham', 'dalam', 'membaca', 'maps', 'mohon', 'diperbaiki']","['sekarang', 'pelayanan', 'tidak', 'pernah', 'ontime', 'driver', 'datangnya', 'lama', 'kebanyakan', 'dapat', 'orderan', 'tidak', 'pernah', 'langsung', 'pada', 'jalan', 'dan', 'ada', 'beberapa', 'driver', 'yg', 'masih', 'kurang', 'paham', 'dalam', 'membaca', 'maps', 'mohon', 'diperbaiki']","['pelayanan', 'ontime', 'driver', 'datangnya', 'kebanyakan', 'orderan', 'langsung', 'jalan', 'driver', 'paham', 'membaca', 'maps', 'mohon', 'diperbaiki']","['layan', 'ontime', 'driver', 'datang', 'banyak', 'order', 'langsung', 'jalan', 'driver', 'paham', 'baca', 'maps', 'mohon', 'baik']",layan ontime driver datang banyak order langsung jalan driver paham baca maps mohon baik
8,Hertisari Putri,1,2023-12-28 8:44:11,"Titik lokasinya tidak sesuai dengan lokasi penjemputan,drivernya juga sering cancel pesanan ,giliran drivernya udah mau dekat dan kita tunjukkan titik lokasi sebenarnya malah gak mau,saya telpon drivernya dan ngejelasin titik penjemputan tapi drivernya diam saja gak bersuara emang tolol banget.drivernya juga sering main hp di dalam mobil😐","titik lokasinya tidak sesuai dengan lokasi penjemputan,drivernya juga sering cancel pesanan ,giliran drivernya udah mau dekat dan kita tunjukkan titik lokasi sebenarnya malah gak mau,saya telpon drivernya dan ngejelasin titik penjemputan tapi drivernya diam saja gak bersuara emang tolol banget.drivernya juga sering main hp di dalam mobil😐",titik lokasinya tidak sesuai dengan lokasi penjemputan drivernya juga sering cancel pesanan giliran drivernya udah mau dekat dan kita tunjukan titik lokasi sebenarnya malah gak mau saya telpon drivernya dan ngejelasin titik penjemputan tapi drivernya diam saja gak bersuara emang tolol banget drivernya juga sering main hp di dalam mobil,"['titik', 'lokasinya', 'tidak', 'sesuai', 'dengan', 'lokasi', 'penjemputan', 'drivernya', 'juga', 'sering', 'cancel', 'pesanan', 'giliran', 'drivernya', 'udah', 'mau', 'dekat', 'dan', 'kita', 'tunjukan', 'titik', 'lokasi', 'sebenarnya', 'malah', 'gak', 'mau', 'saya', 'telpon', 'drivernya', 'dan', 'ngejelasin', 'titik', 'penjemputan', 'tapi', 'drivernya', 'diam', 'saja', 'gak', 'bersuara', 'emang', 'tolol', 'banget', 'drivernya', 'juga', 'sering', 'main', 'hp', 'di', 'dalam', 'mobil']","['titik', 'lokasinya', 'tidak', 'sesuai', 'dengan', 'lokasi', 'penjemputan', 'drivernya', 'juga', 'sering', 'cancel', 'pesanan', 'giliran', 'drivernya', 'udah', 'mau', 'dekat', 'dan', 'kita', 'tunjukan', 'titik', 'lokasi', 'sebenarnya', 'malah', 'gak', 'mau', 'saya', 'telpon', 'drivernya', 'dan', 'ngejelasin', 'titik', 'penjemputan', 'tapi', 'drivernya', 'diam', 'saja', 'gak', 'bersuara', 'emang', 'tolol', 'banget', 'drivernya', 'juga', 'sering', 'main', 'hp', 'di', 'dalam', 'mobil']","['titik', 'lokasinya', 'sesuai', 'lokasi', 'penjemputan', 'drivernya', 'cancel', 'pesanan', 'giliran', 'drivernya', 'udah', 'tunjukan', 'titik', 'lokasi', 'gak', 'telpon', 'drivernya', 'ngejelasin', 'titik', 'penjemputan', 'drivernya', 'diam', 'gak', 'bersuara', 'emang', 'tolol', 'banget', 'drivernya', 'main', 'hp', 'mobil']","['titik', 'lokasi', 'sesuai', 'lokasi', 'jemput', 'drivernya', 'cancel', 'pesan', 'gilir', 'drivernya', 'udah', 'tunjuk', 'titik', 'lokasi', 'gak', 'telpon', 'drivernya', 'ngejelasin', 'titik', 'jemput', 'drivernya', 'diam', 'gak', 'suara', 'emang', 'tolol', 'banget', 'drivernya', 'main', 'hp', 'mobil']",titik lokasi sesuai lokasi jemput drivernya cancel pesan gilir drivernya udah tunjuk titik lokasi gak telpon drivernya ngejelasin titik jemput drivernya diam gak suara emang tolol banget drivernya main hp mobil
9,Zaenab Erna,3,2023-12-30 2:48:44,kenapa maxim di kota sidoarjo tidak bisa bekerja dengan benar aplikasi nya saya order driver motor berkali2 untuk pesan makanan ga pernah bisa di kota lain padahal normal normal aja kayak ga beres ... padahal di titik nya driver nya ada banyak banget saya pake di solo surabaya malang fine2 aja tapi di sidoarjo ga pernah bisa tolong di perbaiki,kenapa maxim di kota sidoarjo tidak bisa bekerja dengan benar aplikasi nya saya order driver motor berkali2 untuk pesan makanan ga pernah bisa di kota lain padahal normal normal aja kayak ga beres ... padahal di titik nya driver nya ada banyak banget saya pake di solo surabaya malang fine2 aja tapi di sidoarjo ga pernah bisa tolong di perbaiki,kenapa maxim di kota sidoarjo tidak bisa bekerja dengan benar aplikasi nya saya order driver motor berkali untuk pesan makanan ga pernah bisa di kota lain padahal normal normal aja kayak ga beres padahal di titik nya driver nya ada banyak banget saya pake di solo surabaya malang fine aja tapi di sidoarjo ga pernah bisa tolong di perbaiki,"['kenapa', 'maxim', 'di', 'kota', 'sidoarjo', 'tidak', 'bisa', 'bekerja', 'dengan', 'benar', 'aplikasi', 'nya', 'saya', 'order', 'driver', 'motor', 'berkali', 'untuk', 'pesan', 'makanan', 'ga', 'pernah', 'bisa', 'di', 'kota', 'lain', 'padahal', 'normal', 'normal', 'aja', 'kayak', 'ga', 'beres', 'padahal', 'di', 'titik', 'nya', 'driver', 'nya', 'ada', 'banyak', 'banget', 'saya', 'pake', 'di', 'solo', 'surabaya', 'malang', 'fine', 'aja', 'tapi', 'di', 'sidoarjo', 'ga', 'pernah', 'bisa', 'tolong', 'di', 'perbaiki']","['kenapa', 'maxim', 'di', 'kota', 'sidoarjo', 'tidak', 'bisa', 'bekerja', 'dengan', 'benar', 'aplikasi', 'nya', 'saya', 'order', 'driver', 'motor', 'berkali', 'untuk', 'pesan', 'makanan', 'ga', 'pernah', 'bisa', 'di', 'kota', 'lain', 'padahal', 'normal', 'normal', 'aja', 'kayak', 'ga', 'beres', 'padahal', 'di', 'titik', 'nya', 'driver', 'nya', 'ada', 'banyak', 'banget', 'saya', 'pake', 'di', 'solo', 'surabaya', 'malang', 'fine', 'aja', 'tapi', 'di', 'sidoarjo', 'ga', 'pernah', 'bisa', 'tolong', 'di', 'perbaiki']","['maxim', 'kota', 'sidoarjo', 'aplikasi', 'order', 'driver', 'motor', 'berkali', 'pesan', 'makanan', 'ga', 'kota', 'normal', 'normal', 'aja', 'kayak', 'ga', 'beres', 'titik', 'driver', 'banget', 'pake', 'solo', 'surabaya', 'malang', 'fine', 'aja', 'sidoarjo', 'ga', 'tolong', 'perbaiki']","['maxim', 'kota', 'sidoarjo', 'aplikasi', 'order', 'driver', 'motor', 'kali', 'pesan', 'makan', 'ga', 'kota', 'normal', 'normal', 'aja', 'kayak', 'ga', 'beres', 'titik', 'driver', 'banget', 'pake', 'solo', 'surabaya', 'malang', 'fine', 'aja', 'sidoarjo', 'ga', 'tolong', 'baik']",maxim kota sidoarjo aplikasi order driver motor kali pesan makan ga kota normal normal aja kayak ga beres titik driver banget pake solo surabaya malang fine aja sidoarjo ga tolong baik
